Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-70.4988	1.43E-05
-69.9988	1.24E-05
-69.4988	1.19E-05
-68.9988	8.20E-06
-68.4989	8.75E-06
-67.9989	1.10E-05
-67.4989	9.00E-06
-66.9989	3.00E-06
-66.4991	7.69E-06
-65.9992	9.40E-06
-65.4989	7.84E-06
-64.9993	1.95E-06
-64.4994	4.73E-06
-63.9989	4.42E-06
-63.4989	6.65E-06
-62.9991	6.38E-06
-62.4991	3.95E-06
-61.9994	4.57E-06
-61.4989	5.88E-06
-60.9989	3.48E-06
-60.4989	4.43E-06
-59.9989	5.06E-06
-59.4989	4.36E-06
-58.9989	1.37E-06
-58.4989	1.86E-06
-57.9989	4.76E-07
-57.4989	1.36E-06
-56.9989	4.43E-06
-56.4989	2.27E-06
-55.9989	3.95E-06
-55.4989	4.95E-06
-54.9989	3.81E-06
-54.499	1.73E-06
-54.0001	5.10E-06
-53.499	3.53E-06
-52.999	5.74E-06
-52.499	1.50E-06
-51.999	2.54E-06
-51.499	9.70E-07
-50.999	3.35E-06
-50.499	3.20E-06
-49.999	3.18E-06
-49.499	2.24E-07
-48.999	4.26E-06
-48.499	3.95E-06
-47.999	8.22E-06
-47.499	1.78E-06
-46.999	1.09E-06
-46.499	3.98E-07
-45.999	2.42E-06
-45.499	2.96E-06
-44.999	9.49E-07
-44.499	2.92E-06
-43.999	1.86E-06
-43.499	2.57E-06
-42.9991	1.21E-06
-42.4991	2.00E-06
-41.9991	6.54E-07
-41.4991	1.48E-06
-40.9991	4.30E-06
-40.4991	1.26E-06
-39.9991	2.07E-06
-39.4991	2.70E-06
-38.9991	1.86E-06
-38.4991	1.51E-06
-37.9991	5.57E-06
-37.4991	3.33E-06
-36.9991	2.33E-06
-36.4992	3.43E-06
-35.9995	2.43E-06
-35.4991	2.77E-06
-34.9991	2.62E-06
-34.4991	2.30E-06
-33.9991	1.39E-06
-33.4991	2.82E-06
-32.9991	6.78E-07
-32.4991	8.28E-07
-31.9991	1.91E-06
-31.4991	3.28E-06
-30.9993	2.22E-06
-30.4991	1.71E-06
-29.9991	2.50E-06
-29.4992	1.05E-06
-28.9992	3.73E-06
-28.4992	2.21E-06
-27.9992	2.76E-06
-27.4992	2.83E-07
-26.9992	3.92E-07
-26.4992	2.11E-06
-25.9992	1.35E-06
-25.4992	2.29E-06
-24.9992	6.40E-07
-24.4992	1.63E-06
-23.9992	8.42E-07
-23.4992	1.14E-06
-22.9992	3.21E-06
-22.4992	4.01E-06
-21.9992	4.06E-06
-21.4992	2.12E-06
-20.9992	4.17E-06
-20.4992	2.60E-07
-19.9992	1.96E-06
-19.4992	3.79E-06
-18.9992	3.20E-06
-18.4992	2.79E-06
-17.9992	4.73E-07
-17.4992	2.89E-06
-16.9992	1.44E-06
-16.4993	4.13E-06
-15.9993	2.63E-06
-15.4993	1.79E-06
-14.9993	2.39E-06
-14.4993	4.04E-06
-13.9993	1.66E-06
-13.4993	2.60E-06
-12.9993	8.30E-07
-12.4993	1.51E-06
-11.9993	2.86E-06
-11.4993	1.70E-06
-10.9993	2.31E-06
-10.4993	3.40E-06
-9.99931	6.17E-07
-9.49931	1.06E-06
-8.99931	2.27E-06
-8.49931	2.42E-06
-7.99931	5.91E-07
-7.49932	1.67E-06
-6.99932	1.98E-06
-6.49934	1.10E-06
-5.99934	2.10E-06
-5.49934	7.83E-07
-4.99934	2.23E-06
-4.49934	7.19E-07
-3.99934	1.96E-06
-3.49935	1.95E-06
-2.99935	1.31E-06
-2.49935	2.36E-06
-1.99937	2.49E-06
-1.50008	2.43E-06
-0.999374	2.13E-06
-0.499374	2.90E-06
0.000617981	2.61E-06
0.500618	3.34E-06
